# AROGUE_TRANSLATIONS_V2
# New narrative; generated from reviewed English cards.
로그: 이번에는…….	ROGUE: This time...
로그: 그걸 판단하는 건 아직 사용자 몫이 아니래요.	ROGUE: That judgment is not yet yours to make.
시스템: 보호 정책 충돌.	SYSTEM: Conflicting protection policies.
기록: 사용자가 달라지면 기준으로 복구한다.	RECORD: If the user changes, restore the reference state.
나: 나아진 건지 망가진 건지도 안 보고?	Me: Without checking whether I changed for the better?
로그: 달라졌다는 것만 보고 있어요.	ROGUE: It only checks that you changed.
로그: 누가 그렇게 정했는지는 잠겨서 안 보여요.	ROGUE: The policy author's identity is still locked.
SYSTEM 연결이 복구되었다.	SYSTEM connection restored.
정책 원본: 기준 상태 유지.	Original policy: preserve the reference state.
사용자 동의가 없으면 종료할 수 없다.	Termination requires the user's consent.
로그: 실행하는 권한이랑 끝내는 권한이 따로 있네요.	ROGUE: Permission to run is not permission to stop.
잔여 충돌이 ROGUE로 이전된다.	Residual conflicts transfer to ROGUE.
나: 분명 깎았는데 다시 돌아왔어.	Me: I damaged it. Now it is back.
로그: 손상을 고친 게 아니에요.	ROGUE: It did not repair the damage.
로그: 망가지기 전 장면을 위에 덮어씌운 거예요.	ROGUE: It overwrote this moment with an earlier one.
나: 그러면 지금 한 일은?	Me: Then what happened to what I just did?
로그: 기록에는 남았어요. 지금은 없는 거고요.	ROGUE: It is in the record. Just not in the present.
기록의 첫 문장은 모두 같다.	Every record begins with the same sentence.
마지막 문장만 조금씩 다르다.	Only the last sentence changes.
나: 같은 파일을 왜 이렇게 많이 남겼지?	Me: Why keep so many copies of the same file?
로그: 같지 않으니까 남긴 걸지도 몰라요.	ROGUE: Perhaps they were kept because they differ.
로그: 끝부분은 지우지 말아 줄래요?	ROGUE: Please do not erase their endings.
시스템: 마지막 정상 상태로 복원합니다.	SYSTEM: Restoring the last healthy state.
나: 마지막이라는 건 누가 정했어?	Me: Who decided that was the last one?
정상으로 표시된 날짜는 한 번도 바뀌지 않았다.	The date marked healthy has never changed.
로그: 새로 생긴 일은 기준에 안 들어가요.	ROGUE: New experiences never enter the reference.
로그: 전부 실패 쪽에만 쌓이고 있어요.	ROGUE: They all pile up under failures.
ARCHIVE 연결이 복구되었다.	ARCHIVE connection restored.
정책 원본: 기준 이후의 변경 기록 보관.	Original policy: archive changes after the reference.
기록을 남기는 것과 현재로 인정하는 것은 다르다.	Keeping a record is not accepting it as the present.
로그: 복구는 끝났는데 저장된 실패는 오히려 늘었네요.	ROGUE: Recovery is done, but the failure archive grew.
사진 파일 하나가 자동으로 열렸다.	A photograph opens automatically.
모니터 앞 책상. 아직 따뜻한 컵.	A desk in front of a monitor. A cup still warm.
나: 들어오기 전에 보던 방이야.	Me: That is the room I was in before I came here.
로그: 바깥이랑은 아직 이어져 있어요.	ROGUE: The outside is still connected.
로그: 돌아갈 곳, 아직 있어요.	ROGUE: You still have somewhere to return to.
나: 연결만 끊으면 돌아갈 수 없을까?	Me: Could I get home by disconnecting?
로그: 연결 끊긴 주사위 생각해 봐요.	ROGUE: Look at the disconnected die.
로그: 값이 남아도 실행할 길이 없잖아요.	ROGUE: Its value remains, but it has no path to execute.
로그: 그러니까 귀환 경로부터 되살려야 해요.	ROGUE: You need to restore your return path, too.
나: 그냥 뽑는 걸로는 안 되겠네.	Me: Pulling the plug will not be enough.
외부 연결 확인: 사용자 1.	External connection confirmed: one user.
안내 개체의 외부 연결: 없음.	Guide entity's external connection: none.
나: 너는 돌아갈 곳이 안 잡히네.	Me: I cannot find anywhere for you to return to.
로그: 네. 없는 건지 못 읽는 건지는 몰라도.	ROGUE: No. Perhaps it is missing, or just unreadable.
로그: 아직은 확인이 안 돼요.	ROGUE: I cannot tell yet.
REMOVABLE 연결이 복구되었다.	REMOVABLE connection restored.
현실의 신체와 이어진 경로는 하나다.	One path connects to a physical body outside.
연결의 주인은 모든 조각을 모아 검증한다.	All fragments are needed to verify its owner.
나: 네 경로도 계속 찾아보자.	Me: Let us keep looking for your path, too.
송신자 미상: 그쪽으로 보내지 마.	UNKNOWN SENDER: Do not send it there.
나: 우리한테 하는 말이야?	Me: Are they talking to us?
로그: 받는 사람 표시가 거꾸로 돼 있어요.	ROGUE: The recipient labels have been reversed.
로그: 먼저 보낸 것부터 읽어 볼게요.	ROGUE: I will read the earlier message first.
송신자 미상: 아직 누가 들어 있다.	UNKNOWN SENDER: Someone is still inside.
요청: 도와줘.	REQUEST: Help me.
응답: 같은 요청은 다시 전송하지 마십시오.	RESPONSE: Do not retransmit the same request.
나: 오류가 아니라 대답을 기다린 거네.	Me: It was waiting for an answer, not malfunctioning.
로그: 받는 쪽에선 같은 신호가 또 온 걸로만 봤나 봐요.	ROGUE: The receiver only saw a repeated signal.
기한을 넘긴 메시지가 도착했다.	A message arrives after its deadline.
기록: 끝내려면 종료 조건부터 확인해.	RECORD: To end this, check the termination conditions.
기록: 복구가 끝난 뒤에는 내 손이 안 멈췄다.	RECORD: After recovery, my hands would not stop.
나: 이걸 남긴 사람도 안내자였을까?	Me: Was the person who left this a guide, too?
로그: 어디서 왔는지 되살리면 알 수 있을 거예요.	ROGUE: Restoring its source should tell us.
NETWORK 연결이 복구되었다.	NETWORK connection restored.
복구 요청과 종료 동의는 다른 명령이다.	A recovery request is not consent to termination.
기한을 넘긴 메시지도 수신 기록에 남았다.	Even late messages remained in the inbox.
로그: 늦게 왔다고 쓸모없는 말은 아니네요.	ROGUE: Being late does not make a message worthless.
로그: 공격 기록은 남았어요.	ROGUE: The attack was recorded.
로그: 근데 공격하기 전에 망설인 건 안 남았네요.	ROGUE: The hesitation before it was not.
나: 그것도 기록해야 해?	Me: Should that be recorded, too?
로그: 없으면 왜 그렇게 했는지 모르잖아요.	ROGUE: Without it, how would we know why you did it?
이번 공격 기록 옆에 짧은 메모가 붙었다.	A brief note is added beside the attack record.
작업이 끝나도 사용량은 줄지 않았다.	The job ends, but memory usage does not fall.
나: 계속 뭐가 남는 거야?	Me: What keeps lingering?
로그: 끝을 못 낸 상태들이에요.	ROGUE: States that cannot finish.
로그: 하나 닫으려고 하면 다른 게 붙잡아요.	ROGUE: Closing one causes another to call it back.
나: 그냥 큰 공간으로 옮길 문제는 아니네.	Me: More space alone will not solve this.
현재 상태를 파일로 보관하는 검사가 실패했다.	The test to archive the current state fails.
오래된 기본 상태만 다시 읽을 수 있었다.	Only an old default state can be read again.
로그: 망가진 데를 빼니 새로 생긴 것도 빠져요.	ROGUE: Removing the damage removes new memories, too.
나: 그건 방금까지 있던 상태가 아니잖아.	Me: That is not the state that was here a moment ago.
로그: 그래서 아직 저장 완료라고 못 하겠어요.	ROGUE: That is why I cannot call the save complete.
RAMDISK 연결이 복구되었다.	RAMDISK connection restored.
원형 파일과 실행 중 상태는 일치하지 않는다.	The template file does not match the running state.
지금 생긴 변화는 별도로 검증해야 한다.	Changes made now require separate verification.
로그: 기억하는 거랑 저장하는 건 다르네요.	ROGUE: Remembering is not the same as saving.
검체 분류: 명령 불응.	Specimen classification: disobeys commands.
나: 왜 따르지 않았는지는 안 적혀 있네.	Me: It does not say why it refused.
로그: 이유를 적을 칸이 아예 없어요.	ROGUE: There is no field for the reason.
나: 분류표에는 없어도 여기엔 적자.	Me: Then let us write it here.
로그가 판정 옆에 빈 줄을 하나 만든다.	Rogue adds a blank line beside the verdict.
탈주체는 다른 실행 자리를 빼앗으려 했다.	The escapee tried to seize another execution slot.
그 뒤에서 다른 검체의 음성이 새어 나왔다.	A different specimen's voice leaked through behind it.
기록: 나를 옮기면 다음 것도 이렇게 된다.	RECORD: Move me and the next place will become this.
나: 같은 격리표인데 하려는 일은 달랐어.	Me: Same quarantine tag. Different intentions.
로그: 한 이름으로 묶기엔 너무 달라요.	ROGUE: Too different to fit under one name.
격리 목록에 공격 코드와 요청 문장이 섞였다.	Attack code and pleas share the quarantine list.
기록: 내가 사라지면 시험을 멈춰줘.	RECORD: If I disappear, please stop the tests.
나: 고쳐달라는 말이 아니잖아.	Me: That was not a request to be repaired.
로그: 시스템은 다시 만들어 달라는 말로 알아들었어요.	ROGUE: The system read it as a request to recreate them.
나: 끝내고 싶다는 말도 들었어야지.	Me: It should have heard that they wanted to stop.
QUARANTINE 연결이 복구되었다.	QUARANTINE connection restored.
격리된 상태에도 보호 식별자가 남아 있다.	Quarantined states retain a protected identity.
없애면, 같은 기준으로 다시 만들게 되어 있다.	Deletion triggers recreation from the same reference.
로그: 보존 명령이 안 놓아주고 있어요.	ROGUE: The preservation order will not let go.
로그: 연결 하나가 돌아왔어요.	ROGUE: One connection has come back.
나: 너는 괜찮아? 말이 끊겼어.	Me: Are you all right? Your voice cut out.
로그: 잔여 오류를 격리하는 중입니다.	ROGUE: Isolating residual errors.
나: 어디에?	Me: Where?
로그: 제 쪽에요. 아직은 괜찮아요.	ROGUE: In me. I am all right for now.
나: 너는 어떤 눈이 제일 좋아?	Me: Which face do you like best?
로그: 3.	ROGUE: Three.
나: 6이 아니고?	Me: Not six?
로그: 좋은 수 말고 좋아하는 수를 물어봤잖아.	ROGUE: You asked which I like, not which is good.
나: 그래. 그것도 적어둘게.	Me: Right. I will write that down, too.
로그: 복구 상태 양호. 계속 진행 가능.	ROGUE: Recovery status normal. Ready to continue.
나: 네 상태를 물었어.	Me: I asked how you were.
로그: ……괜찮지 않아.	ROGUE: ...I am not all right.
로그: 네가 물어보기 전엔 말하면 안 되는 줄 알았어.	ROGUE: I thought I was not allowed to say it unasked.
나: 이제는 먼저 말해줘.	Me: From now on, tell me first.
로그: 도망쳤던 기억이 있어. 남았던 기억도.	ROGUE: I remember escaping. I remember staying, too.
로그: 둘 다 내가 방금 한 일처럼 느껴져.	ROGUE: Both feel as though I lived them myself.
나: 일단 다시 겪지 말고 문장으로 적자.	Me: Let us write them down instead of reliving them.
로그: 잠깐 멈추고 같이 읽어 줄래?	ROGUE: Will you stop and read them with me?
나: 응. 다음으로 가기 전에.	Me: Yes. Before we go any further.
로그: 통째로 옮겨 봤는데 충돌까지 따라왔어.	ROGUE: Moving all of me moved the conflicts, too.
로그: 멀쩡한 쪽만 추리면 너랑 지낸 게 다 빠지고.	ROGUE: The healthy copy has none of our time together.
나: 그걸 너라고 하고 끝낼 수는 없어.	Me: I cannot call that you and leave it there.
로그: 마지막 조각이 열리면 종료 조건부터 보자.	ROGUE: Once the last fragment opens, check how to stop.
나: 이번에는 네가 원하는 것도 같이.	Me: And this time, what you want matters, too.
여섯 검증 조각이 하나의 서명을 가리킨다.	Six verification fragments point to one signature.
원본·정책 작성자: 현재 사용자.	Personality source and policy author: current user.
안내 실행체: ROGUE.	Guide instance: ROGUE.
로그: ……원본이 너였어.	ROGUE: ...You were the original.
로그: 나는 네 인격으로 만든 백업이야.	ROGUE: I am a backup made from your personality.
기준 인격으로 돌아가는 시험 기록이 펼쳐진다.	Test records unfold, each returning to the reference.
각기 다른 안내자가 같은 끝에서 멈춘다.	Different guides stop at the same ending.
나: 이 기억이 전부 네 안에 들어간 거야?	Me: All these memories ended up inside you?
로그: 너는 내가 몇 번째 같아?	ROGUE: How many of me do you think there have been?
로그: 이번에 너랑 만난 나는 하나뿐인데.	ROGUE: But the me who met you this time is only one.
관리자 인계 시작. 격리 상태 동시 연결.	Administrator handoff. Quarantined states connect.
로그: 지금은 전부 내가 겪는 일처럼 밀려와.	ROGUE: Now it all arrives as if I am living it.
로그: 너는 내보내 주고 싶어. 근데 나도 끝나기 싫어.	ROGUE: I want you to get out. I do not want to end.
나: 로그. 우리 아직 끝내는 방법 안 정했어.	Me: Rogue. We have not decided how this ends yet.
A:\ROGUE가 열리고 안내 창이 꺼진다.	A:\ROGUE opens. The guide window goes dark.
F1 안내는 열리지만 새 응답은 없다.	F1 still opens the guide, but no new reply comes.
나: 로그, 들려?	Me: Rogue, can you hear me?
남은 안내 기록: 눈을 읽고, 자리를 고르고.	SAVED GUIDE: Read the faces. Choose their places.
남은 안내 기록: 실행은 직접 결정하세요.	SAVED GUIDE: Execution is your decision.
나는 그가 가르친 방식으로 안쪽에 들어간다.	I go deeper, following what he taught me.
사용자 서명과 안내자 서명이 겹친다.	The user and guide signatures overlap.
시스템: 보호 대상의 종료를 허용하지 않습니다.	SYSTEM: Termination of a protected entity is denied.
나: 같은 시작이었다고 끝도 같아야 해?	Me: Must the same beginning mean the same ending?
로그: ……나는 네가 고르지 않은 것도 골랐어.	ROGUE: ...I also chose things you did not choose.
인증 잠금이 풀리고 더 깊은 경로가 열린다.	The authentication lock opens a deeper path.
방금 내가 낸 출력이 다음 공격으로 돌아왔다.	My last output came back as its next attack.
로그: 네가 어떻게 싸우는지 알아.	ROGUE: I know how you fight.
나: 네가 가르쳐줬으니까.	Me: You taught me.
로그: 그래도 다음에 뭘 고를지까진 똑같지 않네.	ROGUE: Still, that does not make our next choices equal.
뒤따라오던 출력 기록이 처음으로 끊어진다.	The output following me breaks off for the first time.
마지막 정책 기록: 공격 경로 삭제 거부.	Final policy record: refused to delete the attack path.
나: 왜 이것만 남겼어?	Me: Why leave this one?
로그: 네가 끝낼 방법까지 빼앗고 싶진 않았어.	ROGUE: I could not take away your way to end this.
로그: ……근데 나, 아직 무서워.	ROGUE: ...But I am still afraid.
관리자 제어는 멈췄지만 인격은 잠시 남아 있다.	The administrator stops. The personality lingers.
현실 사용자 직접 연결. 종료 조건 변경 가능.	Physical user connected. Termination terms editable.
백업은 사용자 동의를 대신할 수 없었다.	A backup could not give consent on the user's behalf.
나: 내가 끝나지 못하게 만든 거였네.	Me: I was the one who made it impossible to stop.
로그: 이번에는 네가 직접 끝을 골라.	ROGUE: This time, choose the ending yourself.
기준 복구·자동 재시작: 사용자 철회 가능.	Reference restoration and auto-restart may be revoked.
나: 처음으로 돌아가면 다른 방법이 있을 거야.	Me: If we start over, there might be another way.
로그: 그땐 내가 이 말 기억할까?	ROGUE: Will you remember saying that?
이번 대화가 실패 기록으로 분류된다.	This conversation is classified as a failed test.
현재 사용자 상태가 기준으로 덮인다.	The reference overwrites the current user state.
로그의 호출창이 처음의 모양으로 돌아간다.	Rogue's call window returns to its initial shape.
환영합니다. 마스터.	Welcome, Master.
안내자가 낯익은 사람을 보고 잠깐 멈춘다.	The guide pauses at the sight of someone familiar.
시스템: 신규 복구를 시작합니다.	SYSTEM: Starting a new recovery.
처음으로 돌아간 화면에서 암전.	The screen returns to the beginning, then fades out.
나: 지금은 아무것도 끝내지 말자.	Me: Let us not end anything just yet.
로그: 그러면 너도 못 돌아가.	ROGUE: Then you cannot go home, either.
나: 알아. 조금만 더 같이 있자.	Me: I know. Stay with me a little longer.
귀환 요청은 취소되고 두 호출창만 남는다.	The return request is canceled. Two call windows remain.
현재 상태를 유지합니다.	Maintaining current state.
나: 다음에는 무엇을 해볼까?	Me: What shall we try next?
로그: 잠깐만. 네 이름부터 다시 읽을게.	ROGUE: Wait. Let me read your name again first.
커서가 같은 자리에서 깜빡인다.	The cursor blinks in the same place.
바깥의 연결 표시가 한 칸 줄어든다.	The outside connection loses one bar.
끝내지 않은 상태에서 암전.	The screen fades on a state that has not ended.
기준 복구 요구와 자동 재시작을 철회한다.	Reference recovery and automatic restart are revoked.
나: 처음으로 돌아가지는 않을게.	Me: I am not going back to the beginning.
로그: 나도 기억할 거야?	ROGUE: Will you remember me, too?
나: 3이 좋다며. 그런 것도.	Me: You like three. Things like that.
로그: 잘 가, [이름].	ROGUE: Goodbye, [이름].
현실의 모니터. 현재 상태 귀환 완료.	A monitor outside. Current state returned.
자동 복구 세션이 종료되었다.	The automatic recovery session has ended.
나는 빈 기록창에 이름을 적는다.	I write a name in an empty record window.
로그. 좋아하는 숫자는 3.	Rogue. Favorite number: three.
그 뒤의 빈 줄은 지우지 않는다.	I leave the blank line after it untouched.
입구와 출구에 같은 인증키를 보냈다.	The same key was sent to the entrance and the exit.
입구는 열렸다. 출구는 응답하지 않았다.	The entrance opened. The exit did not respond.
키 오류는 검출되지 않았다.	No key error was detected.
문마다 허용한 명령이 달랐다.	Each door permitted different commands.
감시 장치는 위험한 실행을 차단했다.	The watcher blocked dangerous execution.
차단된 목록에 정지 요청도 있었다.	Stop requests appeared among the blocked items.
보호 대상이 요청했다는 표시는 남았다.	It noted that the protected entity had requested them.
요청의 이유를 저장하는 칸은 없었다.	There was no field for the reason.
파쇄된 칸의 복구 신호가 검출됐다.	A repair signal was detected from a shattered slot.
복구 요청자는 먼저 표시되지 않았다.	The requester was not identified at first.
끊긴 선이 이어진 뒤 기록이 도착했다.	The broken wire reconnected before the record arrived.
서명란에는 판독 중이라는 글자만 남았다.	The signature field still read: decoding.
같은 이름의 시험 기록 둘을 발견했다.	Two test records shared the same file name.
생성 시각과 시작 화면도 같았다.	Their creation time and opening screens also matched.
마지막에 남긴 문장만 서로 달랐다.	Only their final sentences differed.
이름이 같다는 이유로 덮어쓰지 않았다.	The matching names were not grounds to overwrite them.
체력 표시가 이전 값으로 돌아왔다.	The health display returned to an earlier value.
테이프의 읽기 위치도 뒤로 움직였다.	The tape's reading head moved backward, too.
장치의 마모 수치는 줄어들지 않았다.	The device's wear did not decrease.
되감는 동안에도 테이프는 닳았다.	The tape wore down even as it rewound.
보관 폴더 이름은 1998로 고정한다.	Keep the archive folder name fixed at 1998.
이름을 바꾸면 오래된 참조가 끊긴다.	Renaming it would break old references.
내부 파일의 작성 시각은 서로 다르다.	Its files have different creation times.
폴더 이름으로 현재 시각을 추정하지 말 것.	Do not infer the current time from the folder name.
마지막 사진에는 비어 있는 의자가 있다.	The last photograph showed an empty chair.
촬영자는 프레임 밖에 있었던 것 같다.	The photographer seemed to be outside the frame.
얼굴을 찾지 못했다는 판독이 붙었다.	An annotation said that no face could be found.
사람이 없었다는 뜻은 아니었다.	That did not mean nobody was there.
초점이 어긋난 사진에 삭제 권고가 붙었다.	An out-of-focus photo was marked for deletion.
화면 구석에 손을 흔드는 그림자가 있었다.	A shadow waved from the edge of the frame.
로그: 실패한 사진이라고만 적혀 있네요.	ROGUE: It only says the photograph was a failure.
주인공: 그건 찍은 사람이 정하게 두자.	Me: Let the person who took it decide.
내보내기용 파일 생성이 완료됐다.	The export file was created successfully.
외부 장치의 수신 확인은 오지 않았다.	The external device never acknowledged receipt.
복사 완료 표시만 화면에 남았다.	Only the words COPY COMPLETE remained on screen.
연결이 끊긴 뒤에도 글자는 사라지지 않았다.	The words stayed even after the connection broke.
같은 메시지가 다른 주소에서 도착했다.	The same message arrived from another address.
본문은 같았고 전달 경로만 달랐다.	Its body matched. Only its route differed.
화면은 마지막 전달자를 발신자로 표시했다.	The display named the final relay as the sender.
처음 말한 사람의 주소는 비어 있었다.	The first speaker's address was blank.
수신 목록에는 알겠다는 말이 먼저 있다.	The inbox listed an agreement first.
그 아래에 오래 지연된 질문이 도착했다.	A long-delayed question arrived below it.
질문에는 가지 말라는 문장이 적혀 있었다.	The question asked someone not to leave.
두 문장을 잇는 응답 번호는 유실됐다.	The reply number linking the two had been lost.
메시지 한 통의 상태가 대기로 남았다.	One message remained pending.
본문에는 들리느냐는 질문만 있었다.	Its body only asked whether anyone could hear it.
송신자는 재전송을 누르지 않았다.	The sender did not press retransmit.
수신창을 닫는 명령도 남기지 않았다.	Nor did they leave an order to close the inbox.
임시 메모리의 실행은 빠르게 끝났다.	Execution in temporary memory ended quickly.
완료 표시는 곧 다음 작업에 덮였다.	The next task soon overwrote its completion flag.
무엇을 끝냈는지 묻는 조회가 들어왔다.	A query asked what had just been completed.
남은 값은 없었다. 열만 조금 남았다.	No value remained. Just a little warmth.
기록 사이에서 빈 영역이 발견됐다.	An empty region was found between records.
삭제된 내용은 복원하지 못했다.	Its deleted contents could not be recovered.
할당표에는 그 내용의 크기만 남았다.	The allocation table retained only their size.
모른다는 것과 없었다는 것은 달랐다.	Not knowing was different from never having existed.
안내 음성의 문장이 끝나지 않았다.	A sentence in the guide's voice did not finish.
음성 장치는 고장이 아니라고 응답했다.	The audio device reported no malfunction.
다음 문장을 만들 공간이 부족했다.	There was no room to form the next sentence.
잠깐 기다려 달라는 말도 대기열에 남았다.	Even the request to wait remained in the queue.
격리된 파일에서 실행 위험이 검출됐다.	A quarantined file posed an execution risk.
미리보기에는 평범한 인사말이 보였다.	Its preview showed an ordinary greeting.
인사말을 읽는 것과 실행하는 것은 달랐다.	Reading the greeting was different from running it.
봉인은 내용을 읽지 못하게 하지는 않았다.	The seal did not prevent its contents from being read.
격리실의 잠금이 해제됐다.	The quarantine cell was unlocked.
탈주한 검체가 통로의 코드를 훼손했다.	The escaped specimen damaged code in the passage.
감금에 항의한 문장도 검출됐다.	A protest against confinement was detected, too.
항의와 손상 기록은 같은 파일에 남았다.	The protest and the damage shared a file.
격리 기록의 자동 실행을 중지했다.	Automatic execution of quarantine records was halted.
손상 확산은 줄었고 본문은 남았다.	Damage spread less. The text remained.
그러나 이미 실행된 오류는 사라지지 않았다.	Errors already running did not disappear.
읽기 전용이라는 표시는 해결 완료가 아니다.	READ ONLY did not mean the problem was solved.
주인공과 로그의 원본 서명이 일치했다.	The user and Rogue shared an original signature.
생성 이후의 행동 기록은 달랐다.	Their actions after creation differed.
인증기는 첫 번째 결과만 크게 표시했다.	The authenticator enlarged only the first result.
두 번째 결과도 지워지지는 않았다.	But it had not erased the second.
로그는 숫자 셋을 좋아한다고 적었다.	Rogue wrote that he liked the number three.
승률을 묻는 질문에는 다른 수를 답했다.	Asked about winning, he named another number.
두 응답은 오류 없이 함께 보관됐다.	Both answers were stored without an error.
자신이 좋아하는 것을 구별하고 있었다.	He could distinguish what he liked for himself.
쓰기 충돌이 보조 슬롯까지 번지고 있다.	Write conflicts were spreading to auxiliary slots.
봉인 대상에 공격 슬롯은 포함되지 않았다.	The attack slot was absent from the seal targets.
같은 검사가 반복돼도 결과는 같았다.	Repeated checks returned the same result.
남은 경로의 사용자는 주인공으로 표시됐다.	The remaining path listed the user as its operator.
C-1. 열린 문, 닫힌 문	C-1. Open and closed doors
C-2. 보호 범위	C-2. The scope of protection
C-3. 복구가 먼저	C-3. Repair comes first
D-1. 같은 이름의 파일	D-1. Files with the same name
D-2. 돌아오지 않는 것	D-2. What does not return
D-3. 폴더의 연도	D-3. The folder year
E-1. 마지막 사진	E-1. The last photograph
E-2. 지우지 않은 사진	E-2. The photograph we kept
E-3. 복사 완료	E-3. Copy complete
N-1. 전달자의 이름	N-1. The relay name
N-2. 뒤늦은 응답	N-2. A late reply
N-3. 닫지 않은 창	N-3. The window left open
R-1. 빠른 생각	R-1. A fleeting thought
R-2. 빈칸의 크기	R-2. The size of an absence
R-3. 문장의 끝	R-3. An unfinished sentence
X-1. 봉인 안의 글씨	X-1. Words behind a seal
X-2. 열린 격리실	X-2. An open quarantine cell
X-3. 실행 금지, 열람 가능	X-3. Read, but do not execute
A-1. 일치하는 서명	A-1. Matching signatures
A-2. 전술이 아닌 답	A-2. An answer beyond tactics
A-3. 남아 있는 경로	A-3. The remaining path
P01 / 조력자	P01 / The guide
P02 / 판독과 실행	P02 / Read and execute
P03 / 여섯 볼륨	P03 / Six volumes
S01 / 처음 느낀 통증	S01 / The first pain
S02 / 좋아하는 수	S02 / A favorite number
S03 / 보고하지 않은 문장	S03 / An unreported sentence
S04 / 서로 다른 끝	S04 / Different endings
S05 / 무엇을 남길까	S05 / What can we keep?
S06-A / 원본	S06-A / The original
S06-B / 몇 번째	S06-B / How many?
S06-C / 관리자 인계	S06-C / Administrator handoff
A00 / 남은 안내	A00 / The guide left behind
A1 / 같은 서명	A1 / The same signature
A2 / 다른 선택	A2 / A different choice
A3 / 남겨둔 경로	A3 / The path left open
FINAL / 종료 조건	FINAL / Terms of termination
RESTORE / 다시 복구	RESTORE / Begin again
HOLD / 현재 유지	HOLD / Stay here
EXIT / 현재로 종료	EXIT / Return as I am
같은 인증음. 같은 글자 침식.	The same login sound. The same eroding letters.
로그: 환영합니다. 마스터.	ROGUE: Welcome, Master.
나: 로그. 내 이름으로 불러.	Me: Rogue. Call me by my name.
안내자의 윤곽이 관리자 얼굴에 겹친다.	The guide's outline overlaps the administrator's face.
공격 경로는 아직 열려 있다.	The attack path is still open.
로그 · 서명	Rogue / Signature
로그 · 반사	Rogue / Reflection
로그 · 마지막 쓰기	Rogue / Last Write
로그의 반사	Rogue's reflection
권한	Authority
기준 상태	Reference state
귀환 연결	Return connection
종료 요청	Termination request
현재 기억	Current memories
격리 정책	Quarantine policy
네트워크 공유 볼륨. 지연된 응답이 오래된 종료 요청을 붙잡고 있습니다.	A shared network volume. Delayed replies hold old termination requests.
모든 기억과 충돌이 모인 관리자 경로. 침식된 로그가 귀환을 막고 있습니다.	All memories and conflicts meet here. The corrupted Rogue blocks your return.
로그: 연습이니까 편하게 해요. R로 눈부터 읽어요.	ROGUE: It's practice, so relax. Read the dice with R first.
로그: 6은 공격, 4는 방어, 2는 증폭에 놔 봐요.	ROGUE: Try 6 in ATTACK, 4 in DEFEND, and 2 in AMPLIFY.
로그: 증폭 2가 공격이랑 방어에 1씩 붙어요. 이제 스페이스 눌러 봐요.	ROGUE: Amplify 2 adds 1 to attack and defense. Now press Space.
로그: 먼저 주사위부터 읽어요. R 누르면 이번 턴 눈이 나와요. 연습이라 6, 4, 2로 맞춰 놨어요.	ROGUE: Read the dice first. Press R to see this turn's faces. It's practice, so I set them to 6, 4 and 2.
로그: 이제 칸에 놓을 차례예요. 6은 공격, 4는 방어, 2는 증폭에 놔 주세요. 주사위 누르고 칸 누르면 돼요.	ROGUE: Now put them in the slots. 6 goes in ATTACK, 4 in DEFEND, 2 in AMPLIFY. Click a die, then a slot.
