# AROGUE_TRANSLATIONS_V2
# A:\ROGUE UI translations (UTF-8, tab-separated)
# Korean source<TAB>English. Use \n for line breaks and keep printf tokens in order.
# The game reloads this file on launch; rebuilding is not required after text edits.
언어	Language
전투 대기  →  [현재: 하위 디렉터리 선택]  →  일반전  →  보상	Combat ready  →  [NOW: Choose subdirectory]  →  Battle  →  Reward
보스 삭제 완료  →  [현재: 전리품 선택]  →  상주 프로그램 설치  →  다음 층	Boss deleted  →  [NOW: Choose loot]  →  Install resident program  →  Next floor
전투 완료  →  [현재: 보상 선택]  →  면 교체 또는 섹터 복구  →  다음 전투	Combat complete  →  [NOW: Choose reward]  →  Replace face or repair sector  →  Next battle
현재 경로	Current path
%s  ·  %d층/3  ·  %d구역/3  ·  %d턴	%s  ·  FLOOR %d/3  ·  SECTOR %d/3  ·  TURN %d
%d층/3  ·  %d구역/3  ·  %d턴	FLOOR %d/3  ·  SECTOR %d/3  ·  TURN %d
난이도 %s  ·  %s	DIFFICULTY %s  ·  %s
체력 %d/%d	HP %d/%d
체력 %d / %d	HP %d / %d
용량 %dB / %dB	CAPACITY %dB / %dB
적 프로세스	Enemy process
보스 프로세스	Boss process
의도: %s %d	INTENT: %s %d
방어도 %d   화상 %d	ARMOR %d   BURN %d
판독하면 정확한 체력이 표시됩니다	Scan to reveal exact HP
주사위 %d	DIE %d
주사위 %d 배치	PLACE DIE %d
주사위 %d 재굴림 [K]	REROLL DIE %d [K]
출력 %d  ·  %dB	OUTPUT %d  ·  %dB
출력 %d  ·  %dB  ·  강화 +%d (기본 %d)	OUTPUT %d  ·  %dB  ·  TUNED +%d (BASE %d)
판독 전	UNREAD
판독 중	READING
손상	DAMAGED
격리	QUARANTINED
오프라인	OFFLINE
잠김	LOCKED
다음 턴 잠김	LOCKED NEXT TURN
다음 턴 오프라인	OFFLINE NEXT TURN
공격 슬롯: 실제로 넣은 피해의 1/3 + 1 만큼 체력 회복.\n다른 슬롯에서는 출력만 쓰입니다.	ATTACK slot: Heal for one third of actual damage + 1.\nIn other slots it contributes output only.
공격 슬롯: 피해 +4, 대상에게 화상 2턴 (적 행동 직전 3 피해).\n다른 슬롯에서는 출력만 쓰입니다.	ATTACK slot: +4 damage and inflict Burn for 2 turns (3 damage before enemy action).\nIn other slots it contributes output only.
방어 슬롯: (출력 + 증폭 보너스) × 2 만큼 방어도.\n다른 슬롯에서는 출력만 쓰입니다.	DEFEND slot: Gain (output + amplify bonus) × 2 armor.\nIn other slots it contributes output only.
증폭 슬롯: 보너스가 출력의 절반이 아니라 100%. 공격·방어에 그대로 더해집니다.	AMPLIFY slot: Adds 100% output instead of half to attack and defense.
연쇄 슬롯: 직전 공격 또는 방어를 감쇠 없이 100% 반복합니다.	CHAIN slot: Repeat the previous attack or defense at full strength.
공격	ATTACK
강공	HEAVY ATTACK
방어	DEFEND
복구	RESTORE
증폭	AMPLIFY
연쇄	CHAIN
오염(관통)	CORRUPTION
실행 순서	EXECUTION ORDER
증폭 > 공격 > 방어 > 연쇄	AMPLIFY > ATTACK > DEFEND > CHAIN
연쇄 > 방어 > 공격 > 증폭	CHAIN > DEFEND > ATTACK > AMPLIFY
연쇄 > 방어 > 공격 > 증폭 (역전!)	CHAIN > DEFEND > ATTACK > AMPLIFY (REVERSED!)
증폭 > 공격 > 방어 > 연쇄\n다음 턴 역전 예고	AMPLIFY > ATTACK > DEFEND > CHAIN\nREVERSAL WARNED NEXT TURN
판독 [R]	SCAN [R]
실행 [스페이스]	EXECUTE [SPACE]
예상 결과  적 체력 -?  ·  내 체력 -?  ·  획득 방어도 ?%s	FORECAST  ENEMY HP -?  ·  MY HP -?  ·  ARMOR ?%s
예상 결과  적 체력 -%d  ·  내 체력 -%d  ·  획득 방어도 %d%s	FORECAST  ENEMY HP -%d  ·  MY HP -%d  ·  ARMOR %d%s
예상 결과  적 체력 -%d  ·  내 체력 -%d  →  시스템 정지%s	FORECAST  ENEMY HP -%d  ·  MY HP -%d  →  SYSTEM HALT%s
예상 결과  적 체력 -%d  →  적 삭제  ·  획득 방어도 %d%s	FORECAST  ENEMY HP -%d  →  ENEMY DELETED  ·  ARMOR %d%s
  ·  시스템 정지 가능	  ·  SYSTEM HALT POSSIBLE
  ·  적 삭제 가능	  ·  ENEMY DELETE POSSIBLE
  ·  읽기 오류로 확정 아님	  ·  NOT FINAL: READ ERROR
  ·  역전 턴!	  ·  REVERSED TURN!
턴 계산 과정	TURN CALCULATION
계산 %d / %d	CALCULATING %d / %d
계산 완료 · 클릭 / Space로 계속	COMPLETE · Click / Space to continue
클릭 / Space로 재생 건너뛰기	Click / Space to skip playback
누적 피해 %d   ·   방어 +%d	TOTAL DAMAGE %d   ·   ARMOR +%d
적 체력 %d → %d	ENEMY HP %d → %d
내 체력 -%d	MY HP -%d
방어도가 막음	BLOCKED BY ARMOR
화상 -%d	BURN -%d
연쇄 -%d	CHAIN -%d
구역 정리 완료 · 보상 데이터 복구	Sector cleared · Recovering reward data
%d층 · %d구역  —  적 삭제 완료	FLOOR %d · SECTOR %d  —  ENEMY DELETED
잠시 후 보상 화면으로 이동합니다 · 클릭이나 키로 바로 넘기기	Reward screen opening shortly · Click or press a key to skip
면을 설치하거나, 대신 섹터를 복구해 체력을 얻으십시오	Install a face, or repair a sector to recover HP
클릭 또는 숫자 키	Click or press a number key
1/2  위에서 보상 면 또는 섹터 복구를 선택하세요	1/2  Choose a face reward or sector repair above
2/2  교체할 기존 면을 클릭하세요	2/2  Click an existing face to replace
섹터 복구	SECTOR REPAIR
면 대신 회복\n현재 %d / %d	Recover instead of a face\nCurrent %d / %d
체력 +%d  ·  0B	HP +%d  ·  0B
강화 TUNED	TUNED
강화 +%d	TUNED +%d
비용	COST
효과	EFFECT
%s · 면 후보 %d개	%s · %d face candidates
설치 시 %dB / %dB	After install %dB / %dB
설치 시 %dB / %dB · 정리 필요	After install %dB / %dB · CLEANUP REQUIRED
상주 프로그램	RESIDENT PROGRAMS
상주 프로그램은 면과 용량을 나눠 씁니다 · 카드를 클릭하면 즉시 설치됩니다	Resident programs share capacity with faces · Click a card to install it immediately
현재 보유 면 (참고용 · 상주 프로그램은 면을 교체하지 않습니다)	CURRENT FACES (reference only · resident programs do not replace faces)
건너뛰기 [취소]	SKIP [ESC]
다음 과정  보상 선택 → 면 교체/건너뛰기 → 다음 구역	NEXT  Reward → Replace/skip face → Next sector
다음 과정  보상 선택 → 면 교체/건너뛰기 → 다음 층\n(용량 초과 시 면 정리 화면을 거칩니다)	NEXT  Reward → Replace/skip face → Next floor\n(Excess capacity opens the cleanup screen)
다음 과정  최종 전투 결과 확인	NEXT  Review final battle result
면을 클릭하면 빈 면(0B)으로 삭제되고, 같은 칸을 다시 클릭하면 복원됩니다.\n한도 이하이고 면이 하나 이상 남으면 다음으로 진행할 수 있습니다.	Click a face to delete it into an empty face (0B); click again to restore it.\nContinue when within capacity and at least one face remains.
덱 %dB + 상주 %dB = %dB / %dB	DECK %dB + RESIDENT %dB = %dB / %dB
면 1개 이상 필요	AT LEAST 1 FACE REQUIRED
다시 눌러 복원	CLICK AGAIN TO RESTORE
[ 삭제됨 ]	[ DELETED ]
계속 [엔터]	CONTINUE [ENTER]
새 런 시작  [R / ENTER]	START NEW RUN  [R / ENTER]
시스템 기록	SYSTEM RECORD
무엇을 남길 것인가.	What will you leave behind?
선택한 명령은 되돌릴 수 없습니다.	The selected command cannot be undone.
▶ 선택	▶ SELECT
▶ 공격 대상	▶ ATTACK TARGET
▶ 보스 · %s	▶ BOSS · %s
보존	PRESERVE
복구 경로	RESTORE PATH
최종 용량	FINAL CAPACITY
체력 최대치	MAX HP
상주  ·  %dB	RESIDENT  ·  %dB
상주:	RESIDENT:
비어 있음	EMPTY
이번 턴 사용됨	USED THIS TURN
재굴림 대기 중	REROLL READY
KEYB 사용됨	KEYB USED
KEYB · 주사위 선택	KEYB · SELECT DIE
KEYB · 판독 후	KEYB · AFTER SCAN
격리 — 남은 %d턴 출력 0, 비용 유지	QUARANTINED — OUTPUT 0 FOR %d MORE TURNS, COST RETAINED
격리 — 전투 동안 출력 0, 비용 유지	QUARANTINED — OUTPUT 0 FOR THIS BATTLE, COST RETAINED
손상 — 출력 0, 비용 %dB는 유지	DAMAGED — OUTPUT 0, %dB COST RETAINED
격리 대상  주사위 %d · %d면 (%s)	QUARANTINE TARGET  DIE %d · FACE %d (%s)
격리 예고: 주사위 %d 면 %d	QUARANTINE WARNING: DIE %d FACE %d
삭제 예고: 주사위 %d 면 %d	DELETE WARNING: DIE %d FACE %d
다음 잠금 대기 중	NEXT LOCK PENDING
라우팅 정상 · 역전 대기	ROUTING NORMAL · REVERSAL PENDING
연결 안정 · 다음 발동 대기	CONNECTION STABLE · NEXT TRIGGER PENDING
압력 %d/%d · 피해 %d+ 시 감소	PRESSURE %d/%d · DEAL %d+ DAMAGE TO REDUCE
오염 %d/%d	CONTAMINATION %d/%d
카운트다운 %d · 피해 %d+로 지연	COUNTDOWN %d · DEAL %d+ DAMAGE TO DELAY
창 피해 %d/%d · 복원 %d/2회	WINDOW DAMAGE %d/%d · RESTORES %d/2
체력 %d%% 미만 시 1회 복원	RESTORE ONCE BELOW %d%% HP
%d턴마다 탈주 %d/%d	ESCAPE EVERY %d TURNS %d/%d
탈주체 %d · 한계	ESCAPEE %d · LIMIT
발동: %s 슬롯 잠김	ACTIVE: %s SLOT LOCKED
예고: 다음 턴 %s 잠금	WARNING: LOCK %s NEXT TURN
발동: 증폭·연쇄 잠김	ACTIVE: AMPLIFY AND CHAIN LOCKED
예고: 다음 턴 증폭·연쇄 잠금	WARNING: LOCK AMPLIFY AND CHAIN NEXT TURN
발동: 주사위 %d 오프라인	ACTIVE: DIE %d OFFLINE
예고: 다음 턴 주사위 %d 오프라인	WARNING: DIE %d OFFLINE NEXT TURN
발동: 이번 턴 순서 역전	ACTIVE: ORDER REVERSED THIS TURN
예고: 다음 턴 순서 역전	WARNING: ORDER REVERSED NEXT TURN
이번 최고 출력 슬롯이 다음 턴 잠김	HIGHEST-OUTPUT SLOT LOCKS NEXT TURN
이번 턴 끝 탈주	ESCAPES AT END OF TURN
예고: 다음 턴 탈주	WARNING: ESCAPES NEXT TURN
타임아웃! 역전 · 보스 대기	TIMEOUT! REVERSED · BOSS WAITS
이번 턴 피해 %d/%d 미달 시 +%d	IF TURN DAMAGE IS BELOW %d/%d: +%d
발동: 강화 공격! (피해 %d+로 예방했어야)	ACTIVE: EMPOWERED ATTACK! (DEAL %d+ TO PREVENT)
숫자	NUMBER
화염	FIRE
방벽	BARRIER
흡수	DRAIN
와일드	WILD
메아리	ECHO
빈 면	EMPTY FACE
값만큼 효과, 값만큼 바이트	Effect and byte cost equal the value
공격 시 추가 피해와 화상	Extra damage and Burn when attacking
방어 슬롯에서 효과 2배	Double effect in the Defense slot
공격 피해 일부를 회복	Recover some attack damage as HP
어느 슬롯에서도 높은 출력	High output in any slot
증폭 슬롯에서 보너스 2배	Double bonus in the Amplify slot
연쇄 슬롯에서 이번 턴 공격/방어 효과 반복	Repeat this turn's Attack or Defend effect in the Chain slot
효과와 비용이 모두 0	Zero effect and cost
대상에게 피해를 줍니다.	Deals damage to the target.
이번 턴의 적 피해를 막습니다.	Blocks enemy damage this turn.
공격과 방어 수치를 먼저 강화합니다.	Boosts attack and defense first.
공격 또는 방어 효과를 반복합니다.	Repeats the attack or defense effect.
배드 섹터	BAD SECTOR
읽기 오류	READ ERROR
조각화	FRAGMENTED
과잉 할당	OVERALLOCATED
체크섬	CHECKSUM
층을 내려갈 때 무작위 면 1개가 영구 손상됩니다. 복구 불가.	Permanently damages one random face when descending. Cannot be repaired.
경고된 주사위가 턴 확정 순간 다시 굴러갑니다.	The warned die rerolls when the turn is committed.
같은 결과가 여러 개면 뒤쪽 결과가 비활성화됩니다.	Later duplicate results are disabled.
층 용량 +60B, 모든 적 최대 체력 +30%.	Floor capacity +60B; all enemies gain +30% max HP.
굴림 출력 합이 짝수면 공격 피해 +2.	Attack damage +2 when total rolled output is even.
초급자	BEGINNER
중급자	INTERMEDIATE
전문가	EXPERT
악몽	NIGHTMARE
광기	MADNESS
표준 STANDARD	STANDARD
공격형 · 공격-공격-강공 주기	Assault · Attack, attack, heavy cycle
공격형 · 턴마다 공격이 강해짐	Assault · Attack grows each turn
방어형 · 방어를 굳히고 강공	Defense · Fortifies, then heavy attack
방어형 · 복구와 방어 반복	Defense · Alternates restore and defend
방어형 · 이중 방어 후 강공	Defense · Double defend, then heavy attack
변칙형 · 강공과 오염 조합	Anomaly · Heavy attack and corruption mix
변칙형 · 오염(관통) 선공	Anomaly · Opens with piercing corruption
변칙형 · 의도가 매턴 뒤섞임	Anomaly · Intent changes every turn
변칙형 · 첫 턴 강공 압박	Anomaly · Heavy pressure on turn one
변칙형	Anomaly
알 수 없음	UNKNOWN
용량 한도 +45B	Capacity limit +45B
조각화 비활성을 무효화	Negates fragmentation disable
층 하강 배드 섹터 손상 무효	Negates bad-sector damage on descent
전투 승리 시 체력 회복	Recover HP after winning combat
전투 시작 시 선제 방어도	Start combat with armor
판독 후 턴마다 한 번 재굴림	Reroll once per turn after scanning
  런이 시작되지 않았습니다.	  No run has started.
  알 수 없는 명령: %s	  Unknown command: %s
  연출이 끝난 뒤에 다시 실행하십시오.	  Try again after the animation finishes.
  오디오 언더런 %d회 (큐 %d x 20ms)	  Audio underruns: %d (queue %d x 20ms)
  적 전멸. 전투 종료 처리 완료.	  All enemies deleted. Combat cleanup complete.
  전투 중이 아닙니다.	  Not currently in combat.
  창 %dx%d · 페인트 최근 %dms · 최대 %dms · %d프레임	  Window %dx%d · Paint latest %dms · max %dms · %d frames
  clear     기록 지우기	  clear     clear log
  help      이 목록	  help      this list
  help 로 명령 목록.	  Type help for commands.
  hp [n]    체력을 n으로 (생략하면 최대치)	  hp [n]    set HP to n (omit for maximum)
  perf      페인트 시간과 오디오 언더런	  perf      paint time and audio underruns
  win       현재 전투를 즉시 승리 처리한다	  win       immediately win the current combat
[%s] 보스 체력 +%d (%d → %d)	[%s] Boss HP +%d (%d → %d)
[공격] 공격 슬롯이 비어 있음 → 피해 0	[ATTACK] Attack slot empty → 0 damage
[공격/%s] 기본 %d + 증폭 %d + 특수 %d + 체크섬 %d = %d 피해	[ATTACK/%s] Base %d + amplify %d + special %d + checksum %d = %d damage
[방어] (기본 %d + 증폭 %d) × 방벽 2 = 방어도 +%d	[DEFEND] (Base %d + amplify %d) × barrier 2 = armor +%d
[방어] 기본 %d + 증폭 %d + 특수 3 = 방어도 +%d	[DEFEND] Base %d + amplify %d + special 3 = armor +%d
[방어] 기본 %d + 증폭 %d = 방어도 +%d	[DEFEND] Base %d + amplify %d = armor +%d
[방어] 방어 슬롯이 비어 있음 → 방어도 +0	[DEFEND] Defense slot empty → armor +0
[역전] 해결 순서: 연쇄 → 방어 → 공격 → 증폭	[REVERSED] Resolution order: Chain → Defend → Attack → Amplify
[연쇄] %d × (%d + 4) ÷ 13 + 2 = %d · 방어도 %d → 체력 -%d	[CHAIN] %d × (%d + 4) ÷ 13 + 2 = %d · armor %d → HP -%d
[연쇄] %d × (%d + 4) ÷ 13 = %d · 방어도 %d → 체력 -%d	[CHAIN] %d × (%d + 4) ÷ 13 = %d · armor %d → HP -%d
[연쇄] %d × (%d + 4) ÷ 13 = 방어도 +%d	[CHAIN] %d × (%d + 4) ÷ 13 = armor +%d
[연쇄] 메아리: 공격 %d × 100%% = %d · 방어도 %d → 체력 -%d	[CHAIN] Echo: attack %d × 100%% = %d · armor %d → HP -%d
[연쇄] 메아리: 직전 방어 %d × 100%% = 방어도 +%d	[CHAIN] Echo: previous defense %d × 100%% = armor +%d
[연쇄] 반복할 공격·방어가 없어 발동하지 않음	[CHAIN] No attack or defense to repeat
[연쇄] 연쇄 슬롯이 비어 있음 → 반복 없음	[CHAIN] Chain slot empty → no repeat
[오프라인] 주사위 %d 연결 끊김 → 이번 턴 출력 0	[OFFLINE] Die %d disconnected → output 0 this turn
[읽기 오류] 주사위 %d 다시 굴림 → 출력 %d	[READ ERROR] Die %d rerolled → output %d
[적 행동] %s 강화 공격 %d - 방어도 %d = 내 체력 -%d	[ENEMY] %s empowered attack %d - armor %d = my HP -%d
[적 행동] %s 강화 오염 %d - 방어 절반 %d = 내 체력 -%d	[ENEMY] %s empowered corruption %d - half armor %d = my HP -%d
[적 행동] %s 공격 %d - 방어도 %d = 내 체력 -%d	[ENEMY] %s attack %d - armor %d = my HP -%d
[적 행동] %s 방어 → 적 방어도 +%d	[ENEMY] %s defend → enemy armor +%d
[적 행동] %s 복구 → 체력 +%d (%d → %d)	[ENEMY] %s restore → HP +%d (%d → %d)
[적 행동] %s 오염 %d - 방어 절반 %d = 내 체력 -%d	[ENEMY] %s corruption %d - half armor %d = my HP -%d
[적중] 적 방어도 %d 흡수 → 실제 체력 -%d (%d → %d)	[HIT] Enemy armor absorbed %d → actual HP -%d (%d → %d)
[적중] 적 방어도 %d 흡수 → 체력 -%d (%d → %d) · 내 체력 +%d	[HIT] Enemy armor absorbed %d → HP -%d (%d → %d) · my HP +%d
[적중] 적 방어도 %d 흡수 → 체력 -%d (%d → %d) · 화상 2 부여	[HIT] Enemy armor absorbed %d → HP -%d (%d → %d) · Burn 2 applied
[적중] 적용할 공격 피해 없음	[HIT] No attack damage to apply
[증폭] 비어 있음 → 공격·방어 보너스 +0	[AMPLIFY] Empty → attack/defense bonus +0
[증폭] 비어 있음 → 보너스 없음	[AMPLIFY] Empty → no bonus
[증폭] 역전으로 해결이 끝난 뒤 도착 → 보너스 %d 소실	[AMPLIFY] Arrived after reversed resolution → bonus %d lost
[증폭] 와일드 %d ÷ 2 + 특수 2 = 공격·방어 +%d	[AMPLIFY] Wild %d ÷ 2 + special 2 = attack/defense +%d
[증폭] 증폭 면 %d × 100%% = 공격·방어 +%d	[AMPLIFY] Amplify face %d × 100%% = attack/defense +%d
[증폭] 출력 %d ÷ 2 = 공격·방어 +%d	[AMPLIFY] Output %d ÷ 2 = attack/defense +%d
[화상] %s 체력 -%d (%d → %d)	[BURN] %s HP -%d (%d → %d)
[CONTRABAND] 주사위 %d 압수 면 → 기본 출력 +2	[CONTRABAND] Die %d seized face → base output +2
[PACKET CHAIN] 동일 연쇄를 한 번 더 전송	[PACKET CHAIN] Transmit the same chain once more
[SNAPSHOT] 주사위 %d 반복 배치 → 기본 출력 +2	[SNAPSHOT] Die %d repeats placement → base output +2
[SYSTEM VERIFY] %s 기본 출력 +1	[SYSTEM VERIFY] %s base output +1
[VOLATILE MEMORY] 방어도 %d → %d (적 행동 전 휘발)	[VOLATILE MEMORY] Armor %d → %d (decayed before enemy action)
%d HIT  /  %d 삭제	%d HIT  /  %d DELETED
%d HIT  /  실행 중	%d HIT  /  RUNNING
%d HIT  /  연속 적중	%d HIT  /  COMBO
%d층 남은 프로세스와 보스 코드 공개	Reveal remaining floor %d processes and boss code
%d층 진입 한도: %dB  ·  현재: %dB	Floor %d entry limit: %dB  ·  Current: %dB
%dB · 종료	%dB · TERMINATE
%s · 오염 %d%%\n관통은 방어 절반만	%s · Corruption %d%%\nPiercing uses half armor
%s 면 설치. 현재 덱 %dB.	%s face installed. Current deck: %dB.
%s 삭제 완료. 피해 %d.	%s deleted. Damage %d.
%s 상주 시작. 사용 %dB.	%s resident started. Used %dB.
%s 종료. 사용 %dB.	%s terminated. Used %dB.
%s 주사위 %d	%s DIE %d
%s 주사위 %d · %dB	%s DIE %d · %dB
%s 특성: 체력 %d 회복.	%s perk: Recovered %d HP.
%s: 배드 섹터 손상을 차단했습니다.	%s blocked bad-sector damage.
%s: 선제 캐시 방어도 +%d.	%s: Preemptive cache armor +%d.
%s: 적 최대 체력이 %d%%로 증가했습니다.	%s: Enemy max HP increased to %d%%.
%s: 적이 방어도 %d로 시작합니다.	%s: Enemy starts with %d armor.
%s: 주사위 %d의 면이 이번 전투 동안 격리되었습니다.	%s: A face on die %d was quarantined for this combat.
%s: 체력 %d 복원.	%s: Restored %d HP.
%s\n이번 실행: 적 체력 -%d · 내 체력 -%d	%s\nTHIS RUN: ENEMY HP -%d · MY HP -%d
%s\n체력 %d+ · 피해 %d+	%s\nHP %d+ · DAMAGE %d+
강화 공격 이후 메모리 압력이 초기화되었습니다.	Memory pressure reset after the empowered attack.
격리 데이터 회수: %s 면 설치 (%dB).	Quarantine data recovered: %s face installed (%dB).
격리 발동: 주사위 %d의 면 %d 출력이 봉인되었습니다.	Quarantine active: Output of die %d face %d sealed.
격리 예고: 주사위 %d의 면 %d이(가) 표적입니다.	Quarantine warning: Die %d face %d is targeted.
격리 해제: %s가 샌드박스를 빠져나왔습니다.	Containment lost: %s escaped the sandbox.
격리 해제: 주사위 %d의 면 %d이(가) 복구되었습니다.	Quarantine lifted: Die %d face %d restored.
격리가 해제되었습니다. 모든 면이 복구되었습니다.	Quarantine lifted. All faces restored.
경고: 압력 한계. 다음 턴 강화 공격이 발동합니다!	Warning: Pressure limit. Empowered attack next turn!
경고: 이번 턴 해결 순서가 역전됩니다.	Warning: Resolution order is reversed this turn.
권한 거부: %s 슬롯은 이번 턴 잠겨 있습니다.	Access denied: The %s slot is locked this turn.
권한 거부: 이번 턴 %s 슬롯이 잠겼습니다.	Access denied: The %s slot was locked this turn.
난이도 %s · %s.	Difficulty %s · %s.
마운트 오류: 볼륨이 확정되지 않아 드라이브 선택으로 복귀합니다.	Mount error: Volume not confirmed; returning to drive selection.
면을 삭제해 용량을 확보했습니다.	Deleted a face to free capacity.
배드 섹터: 무작위 면 하나가 손상되었습니다.	Bad sector: One random face was damaged.
보상을 건너뛰었습니다.	Reward skipped.
보스 기믹 감지: %s	Boss mechanic detected: %s
보스 전리품: 상주 프로그램 하나를 설치할 수 있습니다.	Boss loot: You can install one resident program.
삭제 예고: 주사위 %d의 면 %d이(가) 표적입니다.	Delete warning: Die %d face %d is targeted.
삭제한 면을 복원했습니다.	Restored the deleted face.
섹터 복구: 체력 +%d (%d → %d).	Sector repair: HP +%d (%d → %d).
시스템 정지. R 키로 다시 시작하십시오.	System halted. Press R to restart.
실행 결과: 적 체력 -%d · 내 체력 -%d · 방어도 %d.	Execution result: Enemy HP -%d · My HP -%d · Armor %d.
아직 층 용량을 초과합니다.	Still over the floor capacity.
압력 방출: 게이지 -%d (현재 %d/%d)	Pressure vented: Gauge -%d (now %d/%d)
